# Time Picea Larix Shrub Sphagnum_hum Sphagnum_hol water_table
9.530136986301366520e+00 -4.063025352281486868e-01 1.321978360268606822e+00 4.332825312042839494e-01 -2.286740359633938624e-01 4.631427929341523919e-01 -3.430437236428398595e-01
9.532876712328762991e+00 -4.064763239271561024e-01 1.314550809807059961e+00 4.296705773503573522e-01 -2.304444923950749458e-01 4.620452174237603682e-01 -3.455287774089912389e-01
9.535616438356161240e+00 -4.066491294195145878e-01 1.306791484264581582e+00 4.258288743555687650e-01 -2.322094600266306486e-01 4.609349692677596755e-01 -3.482917841710439499e-01
9.538356164383559488e+00 -4.068211544875970920e-01 1.298724674863472650e+00 4.217709954944660056e-01 -2.339720663868389561e-01 4.598196030732803474e-01 -3.510808757500285537e-01
9.541095890410957736e+00 -4.069921066510460150e-01 1.290379816585440542e+00 4.175069125791044944e-01 -2.357329850310343755e-01 4.586990125751135294e-01 -3.540469529447856645e-01
9.543835616438354208e+00 -4.071618811062048815e-01 1.281787242508438673e+00 4.130459813111991285e-01 -2.374911613659536347e-01 4.575728126750858715e-01 -3.570280953725847861e-01
9.546575342465752456e+00 -4.073314259285527594e-01 1.272977716954406091e+00 4.083972686702629362e-01 -2.392672028680844221e-01 4.564509737693084879e-01 -3.601552523921327520e-01
9.549315068493150704e+00 -4.075008334613977046e-01 1.263982645359251533e+00 4.035694035279789316e-01 -2.410811120761277571e-01 4.553334650220165480e-01 -3.633981992172001241e-01
9.552054794520548953e+00 -4.076704628638184169e-01 1.254834358982849229e+00 3.985704052345574455e-01 -2.429096102655352030e-01 4.542180524492222538e-01 -3.665282096642348275e-01
9.554794520547945424e+00 -4.078387363942056476e-01 1.245566431285491715e+00 3.934074613836811563e-01 -2.447527550573290189e-01 4.531015423967674760e-01 -3.693225957936420167e-01
9.557534246575343673e+00 -4.080062347718808047e-01 1.236227820642048059e+00 3.880937921866985940e-01 -2.466012598966964842e-01 4.519713386932304733e-01 -3.720053895788870135e-01
